brand,device,url,image_url
Bird,M32,https://www.gsmarena.com/bird_m32-1966.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m32.gif
Bird,D636,https://www.gsmarena.com/bird_d636-1965.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d636.gif
Bird,D706,https://www.gsmarena.com/bird_d706-1964.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d706.gif
Bird,D615,https://www.gsmarena.com/bird_d615-1963.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d615.gif
Bird,S768,https://www.gsmarena.com/bird_s768-1962.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s768.gif
Bird,S758,https://www.gsmarena.com/bird_s758-1961.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s758.gif
Bird,S618,https://www.gsmarena.com/bird_s618-1960.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s618.gif
Bird,D736,https://www.gsmarena.com/bird_d736-1959.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d736.gif
Bird,D716,https://www.gsmarena.com/bird_d716-1955.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d716.gif
Bird,D720,https://www.gsmarena.com/bird_d720-1952.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d720.gif
Bird,D611,https://www.gsmarena.com/bird_d611-1951.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d611.gif
Bird,D515,https://www.gsmarena.com/bird_d515-1950.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d515.gif
Bird,D612,https://www.gsmarena.com/bird_d612-1949.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d612.gif
Bird,M29,https://www.gsmarena.com/bird_m29-1948.php,https://fdn2.gsmarena.com/vv/bigpic/bird-M29.gif
Bird,M01,https://www.gsmarena.com/bird_m01-1947.php,https://fdn2.gsmarena.com/vv/bigpic/bird-M01.gif
Bird,M07,https://www.gsmarena.com/bird_m07-1946.php,https://fdn2.gsmarena.com/vv/bigpic/bird-M07.gif
Bird,S1130,https://www.gsmarena.com/bird_s1130-1945.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s1130.gif
Bird,V5518+,https://www.gsmarena.com/bird_v5518+-1944.php,https://fdn2.gsmarena.com/vv/bigpic/bird-V5518+.gif
Bird,S663,https://www.gsmarena.com/bird_s663-1943.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s663.gif
Bird,S661,https://www.gsmarena.com/bird_s661-1942.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s661.gif
Bird,S669,https://www.gsmarena.com/bird_s669-1941.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s669.gif
Bird,S668,https://www.gsmarena.com/bird_s668-1940.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s668.gif
Bird,S667,https://www.gsmarena.com/bird_s667-1939.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s667.gif
Bird,S296+,https://www.gsmarena.com/bird_s296+-1938.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s296.gif
Bird,S296,https://www.gsmarena.com/bird_s296-1937.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s296.gif
Bird,D680,https://www.gsmarena.com/bird_d680-1407.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d680.gif
Bird,D660,https://www.gsmarena.com/bird_d660-1406.php,https://fdn2.gsmarena.com/vv/bigpic/bird-d660.gif
Bird,M11,https://www.gsmarena.com/bird_m11-1405.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m11.gif
Bird,M08,https://www.gsmarena.com/bird_m08-1369.php,https://fdn2.gsmarena.com/vv/bigpic/bird-m08.gif
Bird,S890,https://www.gsmarena.com/bird_s890-1368.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s890.gif
Bird,S798,https://www.gsmarena.com/bird_s798-1367.php,https://fdn2.gsmarena.com/vv/bigpic/bird-s798.gif
